,full_text,tweet_english
0,pulang indomaret ehhh baru masuk sambut lagu ptd bangtan ssksksksk,go home indomaret ehhh just entered welcome the song ptd bangtan ssksksk
1,kacau enak banget air kelapa indomaret hydariococo tiati kata sayae,chaotic delicious coconut water indomaret hydariococo tiati said sayae
2,mau indomaret,want indomaret
3,iini mah keren banget udah gacor withdraw bayar kemaren pernah rungkad tetap puas main disiini soal layan raja mantap dah kaya apotek tutup soal gaada obat,iini mah really cool already gacor withdraw pay yesterday ever broken down still satisfied playing here about the king's service steady already rich pharmacy closed about gaada drug
4,aku kak kerja web ngehandle 2 project besar antara pi network sama hamster kombat udah cair dana indomaret,i work web ngehandle 2 big projects between pi network and hamster kombat already liquid funds indomaret
5,indomaret samping bapak bapak umur 60 an main slot co,indomaret beside father father age 60 play slot co
6,sedih gak bagi oiinigiri indomaret,sadly not for oiinigiri indomaret
7,indomaret kak,indomaret sis
8,aku lebih suka indomaret si,i prefer indomaret si
9,tanah jual pinggir laut desa lahokrukam kab aceh selatan kec tapaktuan tanah iini cocok buat lokasi market,land for sale seafront lahokrukam village south aceh district tapaktuan this land is suitable for market locations
10,pliss jangan ingetin insiden indomaret jebak ujan huhu,pliss do not ingetin incident indomaret trap ujan huhu
11,ir indomaret deket st bekas cuma stroberi leci sama anggur iini iw mana coba stroberi maiinis banget lagimending mangga leci,ir indomaret deket st used only strawberry lychee sama grape iini iw mana cuba strawberry maiinis sangatet lagimending mango lychee
12,indomaret deket kost nyata mogu mogu minwon,indomaret close to real boarding house mogu mogu minwon
13,karyawan alfamart sama karyawan indomaret kalau pacar ngga restu manajer cerita kaya romeo and juliet endingnya bukan minum racun makan barang barang ekspired,alfamart employees and indomaret employees if the boyfriend does not have the blessing of the manager of the rich story of Romeo and Juliet the ending is not drinking poison eating expired goods
14,main hutan kota gratis aja udah happy banget modal jajan indomaret jogging ragunan nongkrong sarinah mutermuter blok m murah banget asal lo ga gengsi makan a b c,play urban forest for free just because you're really happy with the snack capital indomaret jogging ragunan hang out sarinah mutermuter blok m really cheap origin lo ga prestige eat a b c
15,12rb kang parkir dada kalau naro motor depan indomaret holland biar ga kena parkir,12kb kang parking dada if naro motorbike in front of indomaret holland so it doesn't have to be parked
16,promo hemat banget indomaret 1319 juiini 2024,really economical promos indomaret 1319 juiini 2024
17,damn ga warung indomaret ssampai twt slalu dengar lihat iini lagu lejen wkekek,damn ga warung indomaret ssampai twt slalu hear see this song lejen wkekek
18,map ga gede retailer lokal asli indonesia kayak yogya group jawa barat aja punya brand coffee sendiri nama yo coffee indomaret punya brand coffee sendiri brand lokal iini struggle research sendiri buat sustain and survive,"map ga gede original Indonesian local retailer like yogya group, west Java has its own coffee brand, the name yo coffee indomaret has its own coffee brand, this local brand struggles to research itself to sustain and survive"
19,disuru beli makan se indomaret,bought to eat se indomaret
20,saro iinian rumah pelosok nak indomaret susah nak ngandelke uwg katek pck d andelke,saro iinian rustic house want indomaret hard to handle uwg catek pck d andelke
21,promo paling murah indomaret periode 1319 juiini 2024,indomaret cheapest promo period 1319 juiini 2024
22,ga mau mau kursi indomaret,i don't want an indomaret chair
23,coba jakarta giiniin dong soal nya tukang parkir gajelas indomaret kadang kadang liar jugaa suka godain cewe bikin risih aja,try jakarta giiniin dong about the parking lot gajelas indomaret sometimes sometimes wild alsoa likes to seduce girls to make you uncomfortable
24,ik iini tolol baring2 ka lihat tempat duduk samping indomaret baru datang kakek2 iini kakek2 na colek bahuku situ langsungka lihat menep baru napegang pantat langsungka menang baru pergi dari situ respon pertama memang kaya diam nda teriak,ikini silly baring2 ka see the side seat of indomaret just came grandparents iini grandparents na poke my shoulders there immediately see the new sideways napegang butt straight away win just go from there the first response is indeed rich silence nda scream
25,wkwkwkwkwkwkwk iya jir keinget pas ngejer kereta gambir gambeling turun cikiinigondangdia akhir pilih cikiini gt grab gt gambir udah mah waktu mepet bingung pager ijo keluar mana pas deket indomaret titik,wkwkwkwkwkwkwk yes jir keinget pas ngejer train gambir gambeling down cikiinigondangdia the end choose cikiini gt grab gt gambir already mah time mepet confused pager ijo out mana pas deket indomaret point
26,enak banget jogja parkir indomaret gratis ga kayak jakarta langsung tempatin sama tukang parkir ga jelas,really good joggernaut parking indomaret free ga kayak jakarta direct placein same parkers ga clear
27,aku laperr irr knapaa jg indomaret bukaa fakkk pondphuwin weare ep11,i laperr irr knapaa jg indomaret bukaa fakkk pondphuwin weare ep11
28,kenapaa indomaret bukaaa aku laperr irr suruh mam apaann iiniiii pondphuwin weare ep11,whya indomaret openaa i laperr irr tell mam what iiniiii pondphuwin weare ep11
29,paling murah periode 13 19 juiini 2024 mulai jajan hingga butuh kamu promosi paling murah pasti harga spesial laho cuss langsung indomaret dekat bela produk,cheapest period 13 19 juiini 2024 from snacks until you need the cheapest promotion for sure special prices laho cuss directly indomaret near defends the product
30,indomaret jawa 6,java Indomaret 6
31,up disiini link gacor baik,up here the link is good gacor
32,tida makan aku mau kampus jajan roti indomaret ajh,i don't want to eat. I want the indomaret ajh bread snack campus.
33,emg gendeng si nugas g order apa2 giini gjd beli brg indomaret aja mo kluarnya gen kek giini,emg gendeng si nugas g order apa2 giini gjd beli brg indomaret aja mo kluarnya gen cake giini
34,indomaret aja lebih enak,indomaret is better
35,terus apa jadi tembok beda ama zioiinis klo lu laku sama zioiinis jg laku,then what is the different wall ama zioiinis klo lu behavior same zioiinis also behavior
36,soal mau beli indomaret ga jadi trus bjir,about wanting to buy indomaret or not so trus bjir
37,kopi indomaret enak banget,indomaret coffee is really good
38,kira iini deket indomaret palmerah,i think it's close to Indomaret Palmerah
39,kalo tahu telor langgan depan indomaret candi mendut petis muantep pol,if you know eggs subscribe in front of indomaret temple mendut petis muantep pol
40,ngunyah eskrim indomaret bunderan depan malah gleyot2an ama siapa dong,ngunyah ice cream indomaret bunderan front even gleyot2an ama who dong
41,satset udah lama ga gambar sama udah ga asupan aamon bot lewat tl selain indomaret huhuhu rindu aamon bot ken fred sama vier ngejar ngejar aamon ssampai gila,satset for a long time no same picture already no intake of aamon bot through tl other than indomaret huhuhu miss aamon bot ken fred sama vier chase aamon ssampai gila
42,lebih sukaa kursi indomaret,indomaret chair preferred
43,iyah emang sengaja member keluar lagu baru setel ajh entar alfamart indomaret yogya punya ikut setel,iyah eang accidentally member out a new song setet ajh entar alfamart indomaret yogya have to follow setet
44,udah kak shen vit d c e terus minum ku air infused lemon timun buat sabun moist kok aku dulu pake gampg sama kering terus pindah sabun korea indomaret tu mending,already brother shen vit d c e continue to drink me water infused lemon cucumber for moist soap how come I used to use gampg same dry continue to move Korean soap indomaret mending
45,kayak langsung keinget cashew milk chocolatenya indomaret,kayak directly keinget cashew milk chocolatenya indomaret
46,manfaat sok asik sm mbamas indomaret,benefits of pretentious sm mbamas indomaret
47,iini sama aja paket ku kartu atm udah nomor email alamat lengkap bank bukan antar rumah malah antar gudang indomaret,this is the same as my package atm card already email number full address of the bank instead of between houses even between warehouses indomaret
48,jeonghan irabis badminton gor mekarsari nongkrong grandwis makan taichann balik tambun beli pointcoffee indomaret lut nongkrong gang depan rumah,jeonghan irabis badminton gor mekarsari hang out grandwis eat taichann back tambun buy pointcoffee indomaret lut hang out alley in front of the house
49,njir ngadem indomaret,njir ngadem indomaret
50,mau indomaret sbelum gkapan,want indomaret sbelum gkapan
51,bayar tiket bus onlen kena cas berapa min,pay for a bus ticket onlen be charged how many minutes
52,mungkin nyari rokok sampoerna mild nunggu dilobby indomaret,maybe search for a mild shampooerna cigarette wait in the indomaret lobby
53,indomaret,Indomaret
54,aku ga diet lebih padahal aku cuma cut gula karbo kompleks aja sama emang ga nafsu makan aja sih efek bikin kliyengan nyaris pengsan tadi aku pulang dah jajan es krim indomaret self reward,"i don't diet more even though I just cut complex carbo sugar, just the same, I don't have an appetite, the effect of making kliyengan was almost faint just now I went home and snacked on indomaret self-reward ice cream"
55,apa indomaret tengah malem,what is indomaret in the middle of malem
56,pagi sih indomaret beli makan packing hdhhh,in the morning indomaret buy food packing hdhhh
57,penasaran tadi cimory yak 2130 keluar indomaret 2132 nysampai kosan ketika lupa ingat,curious just now cimory yak 2130 out indomaret 2132 nysai kosan when forget to remember
58,pernah indomaret mau izi flaz malah bilang mas flash sale wkwkkwwkwkw tawar diri flash sale,ever indomaret want izi flaz instead say mas flash sale wkwkkwwkwkw offer yourself flash sale
59,indomaret,Indomaret
60,indomaret rumah ke2 kek,indomaret 2nd house cake
61,tadi indomaret nemu parfum sama persis kayak langsung w semprotin badan biar nyium bau bcs kangen banget rit,just now indomaret found the exact same perfume like directly w sprayin the body so that you smell the smell of bcs kangen really rit
62,mending bebas laktosa plain after tastenya maiinis2 nya mana indomaret promo 7k jadi 4k cuma gt langka,mending lactose-free plain after tastenya maiinis2nya mana indomaret promo 7k so 4k only gt rare
63,mau beli pempes sama suami mama ku indomaret komplek tutup huft,want to buy a pension with my mother's husband indomaret complex closed huft
64,lu cek dompet isi cuma bon indomaret rit pondphuwin weare ep11,lu check wallet contents only bon indomaret rit pondphuwin weare ep11
65,gimana iinih tanggap min korban gak aku anak aku loh jadi iini gak sekali iini aja udah sering basmi tukang parkir liat resah banget rugi orang ssampai males mau bela tuh gara kang parkir,how do iinih respond to min victims or not I'm a child I know so iini not once iini already often eradicate parking lot drivers clay fret really lose people ssampai males want to defend tuh gara kang parking
66,iini benhil depan gudeg pejompongan samping indomaret point,iini benhil depan gudeg pejompongan beside indomaret point
67,kangen kopi yummy indomaret,kangen coffee yummy indomaret
